cell_name,pin,index1.1,index1.2,val1,index2.1,index2.2,val2,index3.1,index3.2,val3,dim_signature,measurements
AND2X1,Y,0.5,1.8,1.24723,0.5,1.8,2.36987,0.5,1.8,0.022357,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.06,3.74896,1.2,0.06,5.6772,1.2,0.06,0.002304,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.24,3.78881,1.2,0.24,5.68693,1.2,0.24,0.004973,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.48,3.71652,1.2,0.48,5.65479,1.2,0.48,0.007244,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.9,3.6962,1.2,0.9,5.69527,1.2,0.9,0.014874,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,1.2,3.64991,1.2,1.2,5.67202,1.2,1.2,0.018978,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,1.8,3.44354,1.2,1.8,5.62242,1.2,1.8,0.022263,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,3.0,0.06,9.2684,3.0,0.06,14.1025,3.0,0.06,0.001699,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,3.0,0.24,9.38517,3.0,0.24,14.1307,3.0,0.24,0.004675,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,3.0,0.48,9.2688,3.0,0.48,14.0868,3.0,0.48,0.006947,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,3.0,0.9,9.30979,3.0,0.9,14.2896,3.0,0.9,0.014579,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,3.0,1.2,9.19071,3.0,1.2,14.1135,3.0,1.2,0.018561,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,3.0,1.8,8.94935,3.0,1.8,14.0464,3.0,1.8,0.024184,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,4.0,0.06,12.6026,4.0,0.06,18.6951,4.0,0.06,0.001668,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,4.0,0.24,12.5105,4.0,0.24,18.6883,4.0,0.24,0.004395,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,4.0,0.48,12.3375,4.0,0.48,18.9963,4.0,0.48,0.006627,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,4.0,0.9,12.465,4.0,0.9,18.736,4.0,0.9,0.01426,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,4.0,1.2,12.3249,4.0,1.2,18.7061,4.0,1.2,0.018345,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,4.0,1.8,12.0975,4.0,1.8,18.791,4.0,1.8,0.023999,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,5.0,0.06,15.5352,5.0,0.06,23.6645,5.0,0.06,0.001433,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,5.0,0.24,15.5624,5.0,0.24,23.4187,5.0,0.24,0.004259,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,5.0,0.48,15.5634,5.0,0.48,23.2727,5.0,0.48,0.006435,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,5.0,0.9,15.454,5.0,0.9,23.4945,5.0,0.9,0.014148,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,5.0,1.2,15.4465,5.0,1.2,23.6717,5.0,1.2,0.018129,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,5.0,1.8,15.2377,5.0,1.8,23.6913,5.0,1.8,0.023883,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.1,0.06,0.335241,0.1,0.06,0.475221,0.1,0.06,0.00245,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.1,0.24,0.33337,0.1,0.24,0.469329,0.1,0.24,0.005241,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.1,0.48,0.277585,0.1,0.48,0.479347,0.1,0.48,0.007113,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.1,0.9,0.287249,0.1,0.9,0.483369,0.1,0.9,0.015263,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.1,1.2,0.244978,0.1,1.2,0.525612,0.1,1.2,0.018692,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.1,1.8,0.011983,0.1,1.8,0.718181,0.1,1.8,0.022137,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.5,0.06,1.58383,0.5,0.06,2.36477,0.5,0.06,0.00238,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.5,0.24,1.58134,0.5,0.24,2.3708,0.5,0.24,0.005179,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.5,0.48,1.53432,0.5,0.48,2.38155,0.5,0.48,0.007473,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.5,0.9,1.52558,0.5,0.9,2.34519,0.5,0.9,0.015106,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.5,1.2,1.47083,0.5,1.2,2.3437,0.5,1.2,0.019158,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,0.5,1.8,1.24723,0.5,1.8,2.36987,0.5,1.8,0.022357,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.06,3.74896,1.2,0.06,5.6772,1.2,0.06,0.002304,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.24,3.78881,1.2,0.24,5.68693,1.2,0.24,0.004973,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.48,3.71652,1.2,0.48,5.65479,1.2,0.48,0.007244,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,0.9,3.6962,1.2,0.9,5.69527,1.2,0.9,0.014874,6x6,cell_rise_rise_transition_rise_power
AND2X1,Y,1.2,1.2,3.64991,1.2,1.2,5.67202,1.2,1.2,0.018978,6x6,cell_rise_rise_transition_rise_power
